,temp_ambiente,presion_ambiente,humedad_ambiente,diferencia_presion_filtro_aire,presion_escape_turbina,temperatura_entrada_turbina,temperatura_salida_turbina,presion_descarga_comprensor,monoxido_carbono,oxido_nitrogeno,rendimiento_turbina
0,12.512,1018.8,88.795,3.0561,24.231,1085.9,550.03,11.91,2.3606,79.034,133.91
1,27.191,1018.3,61.426,3.9264,25.316,1083.5,549.88,12.071,1.7627,53.341,131.23
2,7.6998,1010.7,92.708,3.5236,19.683,1059.8,549.97,10.626,3.4467,82.409,114.72
3,22.659,1012.8,90.557,4.5718,30.851,1100.2,536.75,13.429,0.71475,55.616,150.09
4,20.976,1011.3,96.93,4.4024,25.216,1089.7,550.13,12.017,1.8748,61.929,133.67
5,28.479,1008.7,62.336,4.1834,26.474,1094.2,550.2,12.26,0.78646,63.352,134.81
6,13.398,1020.3,91.883,4.3581,23.939,1085.0,550.11,11.883,1.8997,65.549,132.34
7,23.044,1015.7,94.166,3.2548,20.216,1060.6,550.15,10.752,2.7788,49.859,111.74
8,11.195,1017.5,95.926,4.3969,24.158,1085.4,549.9,11.861,1.3508,76.898,133.68
9,23.5,1012.1,68.893,4.8544,25.995,1092.7,549.6,12.126,1.1926,67.772,134.03
10,12.702,1006.3,80.996,3.1441,24.189,1085.1,550.07,11.901,2.283,79.128,133.86
11,18.115,1016.3,79.36,4.2858,31.007,1100.1,540.8,13.483,1.533,50.595,153.21
12,6.4522,1021.7,90.139,2.7965,23.496,1083.2,550.04,11.793,2.1434,77.249,133.95
13,24.14,1015.4,54.011,4.0933,27.147,1091.9,550.57,12.515,2.1101,67.695,139.07
14,17.392,1026.6,65.747,4.6923,24.734,1087.5,549.94,11.983,1.9034,77.107,132.71
15,21.405,1014.5,73.099,3.5732,25.925,1086.8,550.05,12.202,1.916,54.255,136.48
16,13.719,1012.5,76.897,2.5825,19.098,1053.0,549.41,10.423,6.7351,82.909,109.29
17,25.023,1014.2,49.303,5.6587,25.588,1092.2,549.99,12.229,1.871,78.758,133.59
18,22.956,1014.3,64.335,4.2397,25.285,1090.1,549.81,12.053,2.3757,68.261,133.35
19,16.16,998.79,94.647,2.3843,19.146,1051.8,549.94,10.266,4.9961,64.175,108.15
20,12.659,1003.8,93.46,3.5026,25.265,1077.9,549.93,11.977,1.1739,60.615,134.7
21,21.751,1023.0,68.364,4.5113,25.011,1079.7,549.24,12.004,2.1797,60.893,129.81
22,28.618,1005.9,57.118,4.0056,25.759,1092.7,549.56,12.028,0.85983,65.837,133.73
23,19.003,1010.1,76.277,3.7432,26.451,1078.8,543.87,12.26,2.642,52.371,135.77
24,14.7,1011.5,91.654,3.7521,25.415,1082.0,549.88,11.941,1.351,64.461,135.45
25,29.654,1007.0,67.74,3.9718,25.019,1077.3,550.34,11.708,2.4967,49.615,126.23
26,29.16,1014.5,47.262,4.2052,25.968,1093.1,550.31,12.193,1.2629,67.084,132.79
27,11.612,1010.2,79.473,5.9828,32.362,1099.9,531.8,13.822,0.59456,68.914,158.73
28,21.449,1020.1,70.874,4.2368,25.084,1089.3,550.31,12.133,2.147,68.175,132.32
29,28.1,1013.6,74.613,4.2422,26.415,1095.2,549.93,12.254,0.79735,60.21,134.88
30,15.604,1005.9,84.737,3.2838,24.425,1086.1,550.0,11.953,1.2196,75.574,133.48
31,26.723,1014.4,76.922,5.2489,30.022,1099.9,546.14,13.154,1.2888,54.951,145.81
32,28.746,1010.3,42.322,4.2669,23.991,1080.4,550.21,11.621,1.4553,63.643,124.51
33,25.05,1013.2,59.774,4.4453,31.054,1100.0,541.48,13.414,1.3224,49.013,150.89
34,29.392,1009.5,54.392,3.934,25.816,1092.7,550.37,12.303,0.35476,64.771,134.28
35,26.297,1018.4,45.338,4.3783,31.104,1100.0,540.49,13.456,1.5112,48.074,152.03
36,18.371,1020.4,56.512,3.6888,25.553,1080.6,549.95,12.048,1.2656,61.967,133.23
37,9.8277,1017.7,68.578,5.2803,29.149,1099.9,542.26,13.002,1.7834,86.675,151.93
38,18.219,1018.6,76.015,3.2838,23.916,1077.3,550.13,11.73,1.8415,47.948,129.49
39,13.433,1003.7,84.746,3.7673,31.505,1099.8,539.28,13.593,0.72427,58.349,156.06
40,14.301,1016.3,74.474,4.1634,31.185,1096.9,537.19,13.58,1.258,48.792,154.3
41,13.926,1009.4,89.672,3.5398,24.131,1086.2,549.96,12.018,1.013,69.274,134.26
42,6.5414,1024.7,78.734,3.2782,22.909,1073.8,549.89,11.715,3.7934,66.122,130.4
43,28.143,1009.9,80.136,4.2154,26.05,1093.2,550.03,12.239,1.4689,59.426,133.83
44,14.368,998.73,83.709,3.2947,24.658,1086.0,549.92,11.916,1.745,81.305,134.03
45,28.43,1014.7,47.028,3.6299,22.642,1064.8,550.01,11.194,1.8016,46.301,117.18
46,23.868,1013.0,76.048,4.3782,30.68,1099.9,537.18,13.441,0.52729,57.137,151.11
47,18.19,1015.9,92.357,3.0328,19.57,1058.3,549.76,10.63,3.0058,59.329,111.99
48,26.476,1013.5,51.337,4.3533,26.083,1094.1,550.13,12.257,0.7973,69.112,134.77
49,7.7149,1016.2,82.8,4.4831,24.137,1084.3,549.91,11.795,1.2061,79.594,134.32
50,16.682,1007.6,80.821,2.7885,19.356,1048.0,549.81,10.41,4.6344,58.398,109.55
51,10.923,1016.9,93.146,2.9125,23.873,1083.5,550.26,11.85,1.5679,74.846,133.04
52,12.364,1017.6,89.685,4.408,23.831,1085.1,550.28,11.854,1.2596,74.783,132.88
53,25.119,1011.5,53.53,3.8737,25.354,1090.8,549.97,12.154,1.3277,68.987,133.96
54,21.385,1009.6,83.525,5.2571,25.502,1090.0,550.21,12.002,0.99195,67.042,133.56
55,17.02,1019.0,92.101,3.2569,25.382,1089.1,549.94,12.099,1.1589,61.089,134.51
56,20.997,1011.4,95.793,4.407,25.337,1090.1,550.35,12.124,1.8074,63.142,134.24
57,15.891,1004.9,96.752,3.5611,27.336,1092.7,546.64,12.422,1.5816,71.789,140.94
58,37.098,1004.5,24.666,4.3082,29.68,1099.6,547.17,13.044,0.85023,66.852,144.65
59,31.007,1006.9,57.923,3.4842,20.723,1060.8,549.85,10.666,5.1312,50.997,109.84
60,2.11,1019.6,68.371,2.715,22.083,1064.6,542.35,11.394,6.597,99.245,127.46
61,25.825,1015.3,59.928,4.4232,30.653,1100.0,542.52,13.404,1.3931,46.002,149.85
62,2.9509,1020.8,68.913,4.1542,34.859,1100.0,521.09,14.535,1.542,67.691,170.43
63,18.455,1011.5,82.205,4.6394,22.719,1067.5,546.57,11.195,2.2241,67.682,120.86
64,26.551,1006.5,69.665,4.3697,23.221,1076.3,550.05,11.438,2.1278,56.507,121.72
65,28.505,1006.1,38.499,2.9375,20.423,1052.5,549.59,10.523,3.9714,50.876,109.61
66,25.322,1010.5,76.999,4.2314,25.704,1092.3,550.26,12.224,1.276,62.514,134.38
